city,country,Description
Antalya,Turkey,"Once seen simply as the gateway to the Turkish Riviera, Antalya today is very much a destination in its own right. Situated right on the Gulf of Antalya (Antalya Kֳ¶rfezi), the largest city on Turkey's western Mediterranean coastline is both classically beautiful and stylishly modern. At its core is the wonderfully preserved old-city district of Kaleiֳ§i (literally 'within the castle'), which offers atmospheric accommodation in the finely restored Ottoman houses on its winding lanes. The old city wraps around a splendid Roman-era harbour with clifftop views of hazy-blue mountain silhouettes that are worth raising a toast to. Just outside of the central city are two beaches and one of Turkey's finest museums."
Athens,Greece,"With equal measures of grunge and grace, Athens is a heady mix of ancient history and contemporary cool."
Ayia-napa,Cyprus,"Endless blue-sky days and a coastline riddled with sandy pockets helped transform this village into the Mediterranean's summer clubbing capital in the 1990s. Hundreds of clubs and bars set up shop to cater for hedonist-seeking crowds flocking here between June and August and, a couple of decades on, for young Europeans from London to Moscow, Napa (as many visitors refer to it) is still where the party is at its hardest."
Bangkok,Thailand,"Same same, but different. This Thailish T-shirt philosophy sums up Bangkok, a city where the familiar and the exotic collide like the flavours on a plate of pֳ t tai."
Barcelona,Spain,"Barcelona is an enchanting seaside city with boundless culture, fabled architecture and a world-class drinking and dining scene."
Basel,Switzerland,"Historically, Basel's position astride the mighty Rhine has contributed to its growth as a key trade and transport hub. Today, it's a global centre for the pharmaceutical industry ג€“ titans Roche and Novartis are both headquartered here. But that's of little interest to the many thousands of art and architecture lovers who visit each year for the world-famous ART Basel festival and the city's wealth of galleries, museums and iconic buildings."
Batumi,Georgia,"With a backdrop of mist-wrapped hills and soaring snow-capped peaks, Georgiaג€™s second city is a charismatic place with a charming Old Town and a fantastic subtropical climate. Fronted by the calm waters of the Black Sea, Georgia's main summer resort boasts a long beach and a vast and beautifully maintained corniche."
Beijing,China,"From ancient walled capital to showpiece megacity in barely a century, Beijing (Bִ›ijִ«ng, ו—ה÷¬), spins a breathless yarn of triumph, tragedy, endurance and innovation."
Berlin,Germany,"Berlin's combo of glamour and grit is bound to mesmerise all those keen to explore its vibrant culture, cutting-edge architecture, fabulous food, intense parties and tangible history."
Boston,United States,"Boston's history recalls revolution and transformation, and today the city is still among the countryג€™s most forward-thinking and barrier-breaking cities."
Bratislava,Slovakia,"Slovakia's capital since the country's independence in 1993, Bratislava is a mosaic of illustrious history: a medieval and Gothic old town, baroque palaces commissioned by Hungarian nobles, and the crowning castle, rebuilt to Renaissance finery. Slicing through the city are stark-angled, communist-era blocks and a futurist bridge."
Brussels,Belgium,"Historic yet hip, bureaucratic yet bizarre, self-confident yet unshowy, Brussels is multicultural to its roots."
Bucharest,Romania,"Romaniaג€™s capital sometimes gets a bad rap, but in fact it's dynamic, energetic and lots of fun. Many travellers give the city just a night or two before heading off to Transylvania, but thatג€™s not enough time. Allow at least a few days to take in the very good museums, stroll the parks and hang out at trendy cafes and drinking gardens. While much of the centre is modern and the buildings are in various stages of disrepair, you'll find splendid 17th- and 18th-century Orthodox churches and graceful belle ֳ©poque villas tucked away in quiet corners. Communism changed the face of the city forever, and nowhere is this more evident than at the gargantuan Palace of Parliament, the grandest (and arguably crassest) tribute to dictatorial megalomania youג€™ll ever see."
Budapest,Hungary,Budapest has something for everyone ג€“ from dramatic history and flamboyant architecture to healing thermal waters and a nightlife that is unrivalled in Eastern and Central Europe.
Burgas,Bulgaria,"For most visitors, the port city of Burgas (sometimes written as ג€˜Bourgasג€™) is no more than a transit point for the more appealing resorts and historic towns further up and down the coast. If you do decide to stop over, you'll find a lively, well-kept city with a neat, pedestrianised centre, a long, uncrowded beach, a gorgeous seafront park, and some interesting museums. A clutch of reasonably priced hotels, as well as some of the best restaurants in this part of the country, makes it a practical base for exploring the southern coast, too."
